                                              R E A L   E I G E N V A L U E S
   MODE    EXTRACTION      EIGENVALUE            RADIANS             CYCLES            GENERALIZED         GENERALIZED
    NO.       ORDER                                                                       MASS              STIFFNESS
        1         1        1.677460E+06        1.295168E+03        2.061324E+02        1.000000E+00        1.677460E+06
        2         2        2.429647E+06        1.558732E+03        2.480800E+02        1.000000E+00        2.429647E+06
        3         3        2.592842E+06        1.610231E+03        2.562762E+02        1.000000E+00        2.592842E+06
        4         4        2.876692E+06        1.696081E+03        2.699397E+02        1.000000E+00        2.876692E+06
        5         5        3.342569E+06        1.828270E+03        2.909781E+02        1.000000E+00        3.342569E+06
        6         6        4.122686E+06        2.030440E+03        3.231545E+02        1.000000E+00        4.122686E+06
        7         7        4.453029E+06        2.110220E+03        3.358520E+02        1.000000E+00        4.453029E+06
        8         8        4.607741E+06        2.146565E+03        3.416364E+02        1.000000E+00        4.607741E+06
        9         9        4.942959E+06        2.223277E+03        3.538455E+02        1.000000E+00        4.942959E+06
       10        10        5.329992E+06        2.308678E+03        3.674374E+02        1.000000E+00        5.329992E+06
       11        11        5.340996E+06        2.311059E+03        3.678165E+02        1.000000E+00        5.340996E+06
       12        12        5.681561E+06        2.383603E+03        3.793621E+02        1.000000E+00        5.681561E+06
       13        13        6.537351E+06        2.556824E+03        4.069312E+02        1.000000E+00        6.537351E+06
       14        14        6.663558E+06        2.581387E+03        4.108405E+02        1.000000E+00        6.663558E+06
       15        15        7.173348E+06        2.678311E+03        4.262664E+02        1.000000E+00        7.173348E+06
       16        16        7.282918E+06        2.698688E+03        4.295096E+02        1.000000E+00        7.282918E+06
       17        17        7.473904E+06        2.733844E+03        4.351048E+02        1.000000E+00        7.473904E+06
       18        18        7.644787E+06        2.764921E+03        4.400508E+02        1.000000E+00        7.644787E+06
       19        19        8.095477E+06        2.845255E+03        4.528364E+02        1.000000E+00        8.095477E+06
       20        20        8.558245E+06        2.925448E+03        4.655995E+02        1.000000E+00        8.558245E+06
       21        21        8.705878E+06        2.950572E+03        4.695982E+02        1.000000E+00        8.705878E+06
       22        22        9.402703E+06        3.066383E+03        4.880300E+02        1.000000E+00        9.402703E+06
       23        23        9.428038E+06        3.070511E+03        4.886870E+02        1.000000E+00        9.428038E+06
       24        24        9.450409E+06        3.074152E+03        4.892664E+02        1.000000E+00        9.450409E+06
       25        25        9.818712E+06        3.133482E+03        4.987092E+02        1.000000E+00        9.818712E+06
       26        26        1.139256E+07        3.375286E+03        5.371935E+02        1.000000E+00        1.139256E+07
       27        27        1.189827E+07        3.449387E+03        5.489870E+02        1.000000E+00        1.189827E+07
       28        28        1.238490E+07        3.519218E+03        5.601010E+02        1.000000E+00        1.238490E+07
       29        29        1.275158E+07        3.570936E+03        5.683321E+02        1.000000E+00        1.275158E+07
       30        30        1.340517E+07        3.661308E+03        5.827152E+02        1.000000E+00        1.340517E+07
       31        31        1.355205E+07        3.681311E+03        5.858988E+02        1.000000E+00        1.355205E+07
       32        32        1.380493E+07        3.715499E+03        5.913401E+02        1.000000E+00        1.380493E+07
