mode,baseline_mode,reference_cycles,baseline_cycles,reference_eigenvalue,baseline_eigenvalue,relative_error,relative_error_percent
1,1,206.1324,223.3824,1677460.0,1969961.0,0.08368407877655333,8.368407877655333
2,2,248.08,235.1046,2429647.0,2182137.0,-0.052303289261528566,5.230328926152857
3,3,256.2762,281.992,2592842.0,3139304.0,0.10034408189289525,10.034408189289525
4,4,269.9397,284.2053,2876692.0,3188776.0,0.0528473581322051,5.28473581322051
5,5,290.9781,285.3387,3342569.0,3214261.0,-0.019380840001360814,1.9380840001360815
6,6,323.1545,385.6221,4122686.0,5870614.0,0.19330567886258743,19.33056788625874
7,7,335.852,402.6876,4453029.0,6401713.0,0.19900313233209868,19.900313233209868
8,8,341.6364,485.1515,4607741.0,9292113.0,0.42008140818718387,42.00814081871839
9,9,353.8455,489.7136,4942959.0,9467690.0,0.3839757747378445,38.39757747378445
10,10,367.4374,492.0493,5329992.0,9558218.0,0.3391377687736741,33.91377687736741
