                                              R E A L   E I G E N V A L U E S
   MODE    EXTRACTION      EIGENVALUE            RADIANS             CYCLES            GENERALIZED         GENERALIZED
    NO.       ORDER                                                                       MASS              STIFFNESS
        1         1        1.969961E+06        1.403553E+03        2.233824E+02        1.000000E+00        1.969961E+06
        2         2        2.182137E+06        1.477206E+03        2.351046E+02        1.000000E+00        2.182137E+06
        3         3        3.139304E+06        1.771808E+03        2.819920E+02        1.000000E+00        3.139304E+06
        4         4        3.188776E+06        1.785714E+03        2.842053E+02        1.000000E+00        3.188776E+06
        5         5        3.214261E+06        1.792836E+03        2.853387E+02        1.000000E+00        3.214261E+06
        6         6        5.870614E+06        2.422935E+03        3.856221E+02        1.000000E+00        5.870614E+06
        7         7        6.401713E+06        2.530161E+03        4.026876E+02        1.000000E+00        6.401713E+06
        8         8        9.292113E+06        3.048297E+03        4.851515E+02        1.000000E+00        9.292113E+06
        9         9        9.467690E+06        3.076961E+03        4.897136E+02        1.000000E+00        9.467690E+06
       10        10        9.558218E+06        3.091637E+03        4.920493E+02        1.000000E+00        9.558218E+06
       11        11        1.026956E+07        3.204615E+03        5.100303E+02        1.000000E+00        1.026956E+07
       12        12        1.216138E+07        3.487317E+03        5.550238E+02        1.000000E+00        1.216138E+07
       13        13        1.277170E+07        3.573751E+03        5.687802E+02        1.000000E+00        1.277170E+07
       14        14        1.616881E+07        4.021046E+03        6.399694E+02        1.000000E+00        1.616881E+07
       15        15        1.735021E+07        4.165358E+03        6.629373E+02        1.000000E+00        1.735021E+07
       16        16        1.754642E+07        4.188845E+03        6.666754E+02        1.000000E+00        1.754642E+07
       17        17        1.817360E+07        4.263050E+03        6.784856E+02        1.000000E+00        1.817360E+07
       18        18        1.823691E+07        4.270470E+03        6.796664E+02        1.000000E+00        1.823691E+07
       19        19        1.826847E+07        4.274163E+03        6.802541E+02        1.000000E+00        1.826847E+07
       20        20        1.827705E+07        4.275166E+03        6.804138E+02        1.000000E+00        1.827705E+07
1                                                       **STUDENT EDITION*    APRIL  10, 2026  MSC Nastran  3/ 3/26   PAGE     9
